"Staten Island Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011.",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6237,22, ,A5, 214 VINELAND AVENUE                       ,            ,10312,1,0,1,"4,000","2,350",2005, 1 , A5 ,"$775,000",12/6/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6245,257, ,A1, 45 FURMAN STREET                          ,            ,10312,1,0,1,"4,200","2,800",2001, 1 , A1 ,$0,6/13/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6247,34, ,A1, 1037 ANNADALE ROAD                        ,            ,10312,1,0,1,"5,000","1,693",1910, 1 , A1 ,"$340,000",5/26/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,200, ,A1, 1026 ANNADALE ROAD                        ,            ,10312,1,0,1,"30,912","1,598",1945, 1 , A1 ,"$725,000",7/7/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1B,6249,214, ,V0, 1002 ANNADALE ROAD                        ,            ,10312,1,0,1,"40,000",0,1955, 1 , A2 ,"$1,100,000",5/26/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,604, ,B2, 86 BENNETT AVENUE                         ,            ,10312,2,0,2,"3,912","2,170",2010, 1 , A1 ,"$745,000",3/7/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6249,606, ,B2, 82 BENNETT AVENUE                         ,            ,10312,2,0,2,"3,911","2,292",2011, 1 , A1 ,"$768,778",7/18/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6251,12, ,A1, 80 DOWNES AVENUE                          ,            ,10312,1,0,1,"4,000","2,166",1974, 1 , A1 ,"$457,000",1/19/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6252,1, ,A2, 87 DOWNES AVENUE                          ,            ,10312,1,0,1,"4,000","2,200",1974, 1 , A2 ,$0,11/16/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6252,30, ,A1, 6 BUFFINGTON AVENUE                       ,            ,10312,1,0,1,"4,000","2,550",1992, 1 , A1 ,"$590,000",8/17/2011
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6253,4, ,A1, 170 SOUTH RAILROAD ST                     ,            ,10312,1,0,1,"4,167","2,900",1990, 1 , A1 ,$0,8/12/2011
